"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"346","6251","5684","None",2019-11-10,0,0,3,0,5,"yes"
"347","6271","5684","None",2019-11-17,0,0,1,0,8,"yes"
"348","6274","5684","Citrus_12",2019-11-10,0,1,1,0,18,"yes"
"349","5764","5685","None",2019-09-24,0,0.8,10,0,9,"yes"
"350","5751","5685","None",2019-09-24,0,0.83,6,0,7,"yes"
"351","5745","5685","None",2019-09-24,0,0.36,11,0,20,"yes"
"352","5599","5685","None",2019-09-25,0.04,0.5,2,1,24,"yes"
"353","5743","5685","None",2019-09-24,0,0.45,11,0,10,"yes"
"354","5782","5699","None",2019-03-28,0,0,1,0,5,"yes"
"355","5702","5699","Citrus_5",2019-03-26,0,1,1,0,2,"yes"
"356","5703","5699","None",2019-03-28,0,0,1,0,14,"yes"
"357","5747","5699","None",2019-03-30,0,0,1,0,3,"yes"
"358","5734","5699","None",2019-03-27,0,0,2,0,5,"yes"
"359","5728","5699","unknown_462",2019-03-26,0,0.5,2,0,4,"yes"
"360","5703","5700","None",2019-04-10,0.2,1,3,1,5,"yes"
